kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
MEX,Mexico,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.4,14.0,13.7,13.4
MHL,Marshall Islands,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.8,27.0,26.2,25.5
MIC,Middle income,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,28.6877256679745,28.5057032787875,27.9391171061485,27.8548386643006
MKD,North Macedonia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.5,7.4,6.3,5.3
MLI,Mali,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,61.9,59.7,57.6,55.4
MLT,Malta,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.6,5.5,5.4,5.2
MMR,Myanmar,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,41.1,39.8,38.4,37.2
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.6871762284435,39.1265063924956,38.344503876803,37.4140515517314
MNE,Montenegro,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.0,2.8,2.6,2.4
MNG,Mongolia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.2,13.5,12.8,12.2
MOZ,Mozambique,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,51.4,50.3,49.2,48.6
MRT,Mauritania,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.7,35.8,34.9,33.9
MUS,Mauritius,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.3,13.7,14.0,14.1
MWI,Malawi,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,38.5,38.0,38.3,38.2
MYS,Malaysia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.7,6.8,6.8,6.8
NAC,North America,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.5,5.5,5.4,5.4
NAM,Namibia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,44.3,43.8,42.8,41.6
NER,Niger,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,69.3,69.3,69.3,69.1
NGA,Nigeria,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.3,68.7,69.1,69.5
NIC,Nicaragua,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.4,12.9,12.6,12.5
NLD,Netherlands,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.5,3.5,3.5,3.5
NOR,Norway,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.1,2.0,2.0,2.0
NPL,Nepal,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,29.6,28.3,27.1,25.9
NRU,Nauru,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.4,12.2,11.1,10.2
NZL,New Zealand,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.5,4.5,4.4,4.3
OED,OECD members,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.44053838549282,6.35181307348757,6.24325876037331,6.16574364465145
OMN,Oman,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.9,8.8,8.7,8.6
OSS,Other small states,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,28.8792153998443,27.8833337377757,27.3682789590699,26.842599403847
PAK,Pakistan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,59.8,58.1,56.3,54.6
PAN,Panama,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.3,12.9,12.6,12.2
PER,Peru,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.1,12.8,12.5,12.2
